artifact_id	method	source	version	sha256	local_path	notes
de_dict_prose	curl	https://kaikki.org/dictionary/German/	dump 2026-07-25 (368352 lines)	269d8468fb94063482fd1b03c02c83e9ffa428438be5fe7649a8de5f31c72da3	lexical_resources/de_dict_prose/kaikki.org-dictionary-German.jsonl.gz	xcheck=MATCH (Table-1 kaikki DE)
gcide	curl	https://ftp.gnu.org/gnu/gcide/gcide-0.54.tar.gz	GCIDE 0.54 (2024-12-31)	ae9b0187a1d1e7ee86218c707503b5082894c0ba61eeee26d226bca169e7fbd0	lexical_resources/en_dict_prose/gcide-0.54.tar.gz	closes Table-2#12 (gcide had no sha in registration); tarball identity-pinned tonight
kaikki_en	curl	https://kaikki.org/dictionary/English/	enwiktionary 2026-07-06	a12453ed0b667cf1574f4a9f71d0664f9a75f59c02f1e6f91a51f77dec449065	lexical_resources/en_dict_prose/kaikki.org-dictionary-English.jsonl.gz	xcheck=MATCH (Table-1 kaikki EN)
etym	manual	archive.org/download/etymologicaldict00skeauoft (Skeat) + gh PerseusDL/lexica (LSJ)	vendored 2026-07-19	DIR:6@fb31cc7192ae1d81d578817e112216c609362313376ad7e8da7bf2e39706583e	lexical_resources/etym	xcheck skeat=MATCH(1ff610c4) LSJ xml=MATCH(d4d49ef5)
fr	manual	GLAWI(univ-tlse2 2016-05-18)+EtymDB2.0(gh clefourrier)+SemantiQc(lingualab)+Miceli2021pdf(frontiersin)	fetched 2026-07-27	DIR:20@fe0f1a69b0eaa773e98dfd2e19baabba636db74b7f85e487d79b8e1ddae2c374	lexical_resources/fr	xcheck GLAWI/DTD/Miceli/EtymDBx7/Chedidx5 all=MATCH; Miceli per-word data BLOCKED (SharePoint down)->unresolvable
heideltime_src	manual	git https://github.com/HeidelTime/heideltime.git	4ef5002eb5ecfeb818086ff7e394e792ee360335	DIR:12829@92cb7aa3a8abdd0a16aec03cf08a7f65cf4de527e06731a10339b1d21ffd4ead	lexical_resources/heideltime_src/heideltime	git-verified HEAD=MATCH (Table-1); GPLv3; clone+checkout commit (tree pin includes .git, re-clone wont byte-match)
hownet_sentiment	manual	gh Shimon-Guo/chinese_sentiment_dictionary (HowNet dir)	tree sha 6d18a58; 2026-07-16	DIR:9@04c343cfeca808ec282430378fe2153aed9dda8b7d0ef77737bf53a84ebbe3e6	lexical_resources/hownet_sentiment	no Table-1 pin
html	manual	xeno-canto.org pages x2 + ctext.org pingshuiyun (+ shuowen jiezi zhu txt INFERRED ctext)	undated scrapes	DIR:6@fd8c7a11d0588b910f40daf40c2ea05f98354bff14646b5a2102ce3b07d02704	lexical_resources/html	shuowen-jiezi-zhu.txt origin inferred only->unresolvable
impression_norms	manual	Lancaster(osf/7emr6)+Buchanan(gh doomlab/Word-Norms-2)+zh3000(osf/h4pv2)+CCFD(osf/ug5dt)+Zhong2022(osf/t4zgu)	fetched 2026-07-21	DIR:28@2b2b5b87086f7bccc3912bf4123773399cd322612367d6dcc389b63d21d4facb	lexical_resources/impression_norms	closes Table-2#11 (Lancaster/Buchanan/Zhong+3000 raw now tree-pinned); CCFD per-file in sidecar
leipzig_de	curl	https://downloads.wortschatz-leipzig.de/corpora/deu_news_2024_300K.tar.gz	build 2025-01-22	9483168103f47a41380f0c164012c979f788af161867c1645249d3b4c5cbb6a8	lexical_resources/leipzig_de/deu_news_2024_300K.tar.gz	CC BY; xcheck tarball=MATCH; extracted sentences.txt=MATCH(4511291a)
leipzig_en	curl	https://downloads.wortschatz-leipzig.de/corpora/eng_news_2025_1M.tar.gz	build 2026-02-11	7cad9136013d27b6230841558d19c5ab39b18c502dce8ccd3a821fdf74b4081b	lexical_resources/leipzig_en/eng_news_2025_1M.tar.gz	CC BY; xcheck tarball=MATCH; extracted sentences.txt=MATCH(19ca4fb4)
leipzig_fr	curl	https://downloads.wortschatz-leipzig.de/corpora/fra_news_2024_300K.tar.gz	build 2025-01-19	66e99462efbe1feb71c0239eb795fc405de220cdef174971d87104770f6c4103	lexical_resources/leipzig_fr/fra_news_2024_300K.tar.gz	CC BY; xcheck tarball=MATCH; extracted sentences.txt=MATCH(b4728088)
leipzig_zh	curl	https://downloads.wortschatz-leipzig.de/corpora/zho_news_2020_300K.tar.gz	2020 crawl	28e6d92f35ea8c0eea20b7329407384905e16e9394941f02d0fcf451c5da4543	lexical_resources/leipzig_zh/zho_news_2020_300K.tar.gz	CC BY; xcheck tarball=MATCH (Table-1); extracted sentences UNPINNED->see leipzig_zh_tokenized (Table-2#13)
leipzig_zh_tokenized	manual	extracted+tokenized from leipzig_zh tarball	identity-pinned 2026-08-06	d007399263b6f139c9fa61c747500772b6fbf776aec67f8756ae653daa40090d	lexical_resources/leipzig_zh/leipzig_tokenized.txt	closes Table-2#13 (zh sentences-equivalent; en/de/fr siblings pinned, zh was the gap)
lifespan	curl	https://genomics.senescence.info/species/dataset.zip	AnAge Build 15 (2023-07-03)	e3ddb66e32e973a79932859ba53013e8f60d957c6ec01c6eb573e3ea3018d630	lexical_resources/lifespan/anage_dataset_build15.zip	CC BY 3.0; row pins download zip; xcheck extracted anage_data.txt=MATCH(Table-1 AnAge 98867969; recorded pin was for the .txt not the zip)
places365_val256	curl	http://data.csail.mit.edu/places/places365/val_256.tar	Places365-Standard (Zhou2017); 2026-07-21	24b4e639ef12a0012af525bc4cb443e4ab4aaea8369a1fb009b70e4a4aad5d48	lexical_resources/places365/val_256.tar	xcheck:MATCH(PROVENANCE 24b4e639); extract dir val_256/ regenerable, prunable
places365_filelist	curl	http://data.csail.mit.edu/places/places365/filelist_places365-standard.tar	Places365-Standard (Zhou2017); 2026-07-21	520699e00d69b63ddc29fac54645aa00ce1c10ca42e288960aa1cf791d6e9aa9	lexical_resources/places365/filelist_places365-standard.tar	xcheck:MATCH(PROVENANCE 520699e0)
places365_categories	curl	http://data.csail.mit.edu/places/places365/categories_places365.txt	Places365-Standard (Zhou2017); 2026-07-21	2affba635eb657e7ca95f4e6cc69bd9fac29ef4c32aeb83cafdfcd06ec6a1ea6	lexical_resources/places365/categories_places365.txt	xcheck:MATCH(PROVENANCE 2affba63)
places365_valtxt	curl	http://data.csail.mit.edu/places/places365/places365_val.txt	Places365-Standard (Zhou2017); 2026-07-21	06d41c7ca5164a789a3dae2e997d8dd1ad2aef8d97ee474d4717a4dcce0a67be	lexical_resources/places365/places365_val.txt	xcheck:MATCH(PROVENANCE 06d41c7c)
ru	manual	git https://github.com/wenyuange/ru.git (ruzang)	2f3a39cabc8de44b77ebd67f23c4f777ba053876	DIR:936@0cc2b4ab1552e15ee0c8cf73d083411bccea13c0c86817737c81b84c7f848f46	lexical_resources/ru	git-verified HEAD=MATCH (Table-1); per-file sha16 in ru_manifest json (satellite); clone+checkout (tree includes .git)
sewrl	manual	git github.com/thunlp/SE-WRL (ships HowNet.txt)	ACL2017 release	DIR:61@5234ec0a32c6e8434978005c609b3d08d5ad5b24219eaee0999686329a2e392c	lexical_resources/sewrl	MIT; no Table-1 pin
temporal_ground	manual	gh UD_Classical_Chinese-Kyoto + zh.wikisource jingzhuanshici(API) + unicode.org Unihan_Variants.txt	clones/fetches 2026-07-18	DIR:16@58f5fc236ef9e61023f84d98d517135c4c4c6e4cfac64ea908811db7c9f64307	lexical_resources/temporal_ground	xcheck Unihan_Variants.txt=MATCH(3f23cd71); UD-Kyoto commit 59ee9e05 recorded-only (no on-disk .git->not locally git-verifiable)
temporal_lexicon	manual	DERIVED en_temporal_derive_61.py FROM heideltime_src	built 2026-07-28	18fb285e8c1e000ddf9df22bbe05fa37aea04478db362300f4cd9c885860dbaf	lexical_resources/temporal_lexicon/en_temporal_inventory_61.json	derived-not-fetchable; upstream=heideltime_src
xeno_canto	manual	xeno-canto.org API v3 crawl (cnt:china, key required)	2026-07-17; 49 pages/24020 records	DIR:13@a99cff25360964687768a8eecc43cd7bf62f5b7320a236182ef0ac5f88d1d492	lexical_resources/xeno_canto	API crawl (not automatable w/o key); provenance.json in tree
zh_dict_prose	curl	https://language.moe.gov.tw/download/dict_revised_2015_20260625.zip	2021 Web v6 (2026-06-25)	64003a98fcc7097940e5a536c999bc08ba7c07e2c1be66448f01bf1ae10a53fc	lexical_resources/zh_dict_prose/dict_revised_2015_20260625.zip	CC BY-ND 3.0 TW; xcheck zip=MATCH; xlsx=MATCH(df94ae43)
zh_durations	manual	scidb.cn DOI 10.57760/sciencedb.28888	V1 (2026-07-16)	DIR:6@2ade30b7c2fa01eae22c4a2b87ea8bee39ee43d16c30430a52bfd093e928b218	lexical_resources/zh_durations	CC BY 4.0; DOI-gated (landing page not direct URL); no Table-1 pin
cmudict	curl	https://raw.githubusercontent.com/cmusphinx/cmudict/master/cmudict.dict	HEADERLESS (no version in file)	81917843c7f44ce2b094ac63873c2c7a4cf802040792c455ba3ca406891c3d22	marking/tools/vectors/cmudict.dict	closes Table-2#6 (hash); CITATION_AUDIT version 0.4(1995) UNCONFIRMED-file has no version header (1st entry bout, last zywicki; cmusphinx cmudict.dict format)
xkcd_rgb	curl	https://xkcd.com/color/rgb.txt	xkcd color survey	450cca88fa6fa9a1e79c969969e05e6900b41a94f0a3a5f134e3d0b79077f890	marking/tools/vectors/xkcd_rgb.txt	closes Table-2#8; was filename-cited only
erya_shiyue	manual	Erya-Shiyue (ctext.org, INFERRED)	identity-pinned 2026-08-06	caf52edb87868ac33ed02e345998b4d2d64c72ec68f7bb5e0c24cb07fa8b5c4e	marking/tools/vectors/erya_shiyue.txt	closes Table-2#9; source inferred (no receipt)
erya_shitian	manual	Erya-Shitian calendrical (ctext.org, INFERRED)	identity-pinned 2026-08-06	cea98c05db870e0248e7a0cff4a12a286ba010feef15232747a4f61d6a5499dc	marking/tools/vectors/erya_shitian_calendrical.txt	closes Table-2#9; source inferred
erya_shicao	manual	Erya-Shicao (ctext.org, INFERRED)	identity-pinned 2026-08-06	e10bc0d3386b47bcc44841241798016d744046835b0bc1a78753f4a54cc9de50	marking/tools/vectors/erya_shicao.txt	closes Table-2#9; source inferred
erya_shimu	manual	Erya-Shimu (ctext.org, INFERRED)	identity-pinned 2026-08-06	00d0f5bc4e2f2899f802f9945e2357c17fde70dc62c4ce170450a7ecacdc05aa	marking/tools/vectors/erya_shimu.txt	closes Table-2#9; source inferred
unihan_zip	curl	https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip	Unicode UCD latest-at-fetch	f7a48b2b545acfaa77b2d607ae28747404ce02baefee16396c5d2d7a8ef34b5e	marking/tools/vectors/Unihan.zip	closes Table-2#10 (download unit)
unihan_irgsources	manual	extracted member of Unihan.zip	identity-pinned 2026-08-06	d1c817dd7db84295dab0643c277d97c2fa742c245f8824e6736c2a0935095325	marking/tools/vectors/Unihan_IRGSources.txt	closes Table-2#10; extracted from Unihan.zip
wndb_tar	curl	https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz	WordNet 3.0	658b1ba191f5f98c2e9bae3e25c186013158f30ef779f191d2a44e5d25046dc8	marking/tools/vectors/WNdb-3.0.tar.gz	closes Table-2#7 (download unit); WordNet license
wordnet30	manual	extracted from WNdb-3.0.tar.gz	WordNet 3.0	DIR:9@e0e655fcee52eb923d04107e1c1e28a68a5658d03d91f792816bdd296b3c5a30	marking/tools/vectors/wordnet30	closes Table-2#7 (expanded tree); extracted from WNdb-3.0.tar.gz
guangyun	manual	git https://github.com/nk2028/tshet-uinh-data	21585e22c8a730ca2fd175112f4d18e16d5ce578	DIR:18@45b04bbca6a8a2855460b9138d927575ae2bb470748d6bba3b2a1ceca8e7fc9c	marking/tools/vectors/guangyun	git-verified HEAD (NEW: remote=nk2028/tshet-uinh-data, no .git suffix); LICENSE in tree; clone+checkout (tree includes .git); re-pinned 2026-08-12 #71 after nested-duplicate removal (f875abf) — prior pin covered the accidental double-vendor
whitening_sample	manual	Leipzig-derived (house precedent)	exact pack/year NOT recoverable	59c9c84087517d740f76890c4795c47faefecdba29d6219bbe8a4f4c4bd79b77	engine/data/whitening_sample.txt	derived-not-fetchable; predates PROVENANCE convention->unresolvable
