ID,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,本年,本日,本月,本周,不久,不日,沧海桑田,刹那,成年累月,此刻,此时,次日,大后天,待会,当即,当世,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,多时,改年,改日,改天,隔月,隔周,工夫,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,猴年马月,后年,后日,后天,后周,即将,即刻,即日,即时,几十年,将近,将来,今,今朝,今晨,今儿,今个,今后,今年,今日,今生,今世,今天,今晚,今夏,今宵,今夜,经年累月,来年,来日,来生,来世,老半天,立即,立刻,两下子,马上,明,明后天,明年,明日,明天,明晚,明早,目前,年末,年内,七日,七月,千年,千秋万代,顷刻,日后,霎时,稍后,十二月,十一月,十月,瞬间,四月,他日,天长日久,万代,万年,为期不远,未来,五月,下半年,下半月,下辈子,下礼拜,下月,下周,现阶段,现今,现年,现如今,现时,现下,现在,迅即,迅雷不及掩耳,迅速,眼下,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一月,一眨眼,一阵,一阵子,一整天,亿万斯年,翌年,翌日,永久,永生永世,永远,与此同时,月,暂时,眨眼间,长久,长命,长年,长期,长寿,这时,正当时,正要,正在,中长期,终身,终生,钟头,周年,转眼间,记者,国家,棉袄,打扫,专辑
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,2,2,1,2,3,1,1,1,1,1,1,3,3,3,3,3
11,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,1,1,3,1,3,1,1,3,1,3,1,3,1,1,3,1,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,1,1,3,1,1,1,3,1,1,3,3,3,1,3,3,1,1,1,1,3,3,1,1,3,3,1,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3
12,3,1,1,3,1,3,1,1,1,3,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,3,3,3,1,3,2,1,3,3,3,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,2,2,1,2,3,3,3,1,3,3,3,1,1,3,1,1,1,3,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,3,3,3,1,3,1,3,3,1,1,3,1,1,1,3,1,2,3,1,1,1,3,3,3,3,3
13,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,3,3,2,1,1,1,3,1,1,3,3,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,3,2,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,1,3,3,3,3,1,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,1,1,3,1,1,1,1,3,1,3,3,1,3,1,3,3,1,1,1,3,1,3,3,3,3,3
14,1,3,1,3,1,1,3,1,1,1,1,1,3,1,3,3,1,1,1,1,1,3,3,3,2,3,2,1,3,2,1,3,1,3,2,3,2,1,1,1,1,1,2,3,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,3,3,3,1,1,1,2,1,1,1,1,3,1,2,3,1,1,3,1,2,3,1,2,3,1,3,3,3,1,1,3,3,1,1,2,3,3,3,3,2,2,3,3,3,2,1,2,2,1,1,1,2,2,1,1,2,3,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,1,1,2,1,3,3,2,1,1,1,3,3,3,3,3
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,3
16,1,1,1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1,1,2,3,2,1,1,3,1,2,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,1,1,1,3,3,3,3,3,1,2,2,3,2,3,3,3,3,3,3,1,2,2,3,3,1,1,1,1,1,3,3,2,3,3,3,3,2,3,3,1,3,1,1,1,2,1,1,3,3,2,1,2,3,1,1,1,1,2,3,1,3,3,3,3,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,3,3,3
17,1,1,1,1,1,1,1,1,1,1,3,2,3,3,1,3,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,3,3,3,3,3,3,1,2,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,1,1,3,1,2,3,3,3,3,3,1,1,1,1,3,1,3,3,3,3,3
18,3,1,2,2,2,3,3,2,3,2,1,1,2,1,2,2,3,2,2,1,1,1,1,3,2,3,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,3,2,2,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,3,2,3,1,1,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,3,3,2,2,2,2,1,1,1,2,1,2,2,3,3,3,2,1,2,1,3,1,2,1,1,1,1,2,2,3,2,2,2,2,1,3,2,2,1,2,2,2,3,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,3,1,1,3,2,3,1,1,2,3,3,2,2,2,3,2,1,2,1,3,2,3,1,1,2,3,3,3,3,3
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,1,3,3,1,3,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,1,1,3,1,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,3,1,3,3,3,3,1,3,3,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,3,1,1,1,3,1,3,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3
20,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,3,3,2,2,2,1,1,1,2,2,1,1,1,2,3,3,2,1,2,2,1,1,3,2,2,2,1,2,2,3,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,3,1,1,1,1,3,2,1,1,2,1,2,2,1,3,2,3,3,2,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,3,2,3,2,2,1,1,1,1,1,3,3,3,3,3
21,3,1,1,1,3,1,1,3,1,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,1,3,3,1,1,3,3,1,2,2,1,2,2,3,3,2,1,3,3,3,1,3,1,1,1,3,3,3,3,3,3,3,1,3,1,1,3,3,3,3,1,3,3,1,1,3,3,3,3,3,1,3,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,2,1,1,3,1,3,3,2,2,2,3,2,2,1,1,1,3,1,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,3,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,2,3,3,1,1,1,1,1,3,3,3,3,2,1,1,3,1,3,2,1,2,2,2
22,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,2,1,1,1,1,3,1,1,1,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,3,1,3,1,1,2,2,1,1,1,3,1,1,1,3,1,1,1,3,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,3,1,1,3,1,1,3,3,1,1,3,3,1,1,1,1,1,3,3,3,3,3
23,3,1,1,2,1,2,2,1,1,2,1,1,1,1,3,3,2,1,3,1,1,1,1,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,3,2,1,3,3,3,3,3,2,1,1,1,1,2,1,1,1,3,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,3,2,2,1,3,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,1,2,1,3,3,1,3,3,1,1,1,2,3,1,1,2,1,1,1,3,3,1,2,1,1,1,1,1,1,3,3,1,3,3,3,3,3,1,1,2,1,1,1,1,3,3,1,3,3,3,3,3
24,2,3,1,1,3,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,2,1,2,2,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,2,1,2,3,3,3,1,1,1,3,3,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,3,3,3,1,3,2,1,1,1,1,2,3,3,1,1,1,1,2,1,2,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,3,1,3,3,3,3,3
25,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,3,3,3,3,1,1,3,1,1,1,1,1,2,1,1,2,3,3,3,3,3,1,1,1,1,1,1,1,1,2,3,3,3,3,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,1,3,1,3,3,3,3,3,3,3,2,3,3,1,1,1,3,1,1,3,2,3,1,3,3,1,2,1,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,3,1,1,1,3,3,1,1,1,1,1,1,3,3,3,3,3,1,1,1,2,3,1,3,3,3,3,3
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,3,1,3,1,1,3,1,1,2,3,1,1,1,1,1,1,3,1,1,1,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,3,3,3,3,3
27,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,1,1,1,1,2,1,1,2,2,2,3,2,2,1,2,2,3,2,3,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,1,2,2,1,1,1,1,1,2,1,2,2,3,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,2,2,1,2,3,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,3,2,2,2,3,1,2,1,1,2,2,2,1,1,1,3,3,3,3,3
28,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,1,1,1,3,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,1,1,3,1,1,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3
30,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,3,1,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,3,3,1,3,1,1,1,1,2,1,3,3,3,3,3
