No,expressions,translation,Type,num_duration,freq,adjusted_freq
46,天长日久,As long as heaven and earth last (very long time),verbal,8.90E+16,450,450
47,万代,Ten thousand generations,verbal,9.61E+19,646,555.56
48,万年,Ten thousand years,verbal,5538258.556,4499,3644.19
49,为期不远,Not far off (in time),verbal,216.6842105,407,407
50,迅即,Promptly and swiftly,verbal,0.00478851,2318,2318
51,迅雷不及掩耳,Swift thunder leaves no time for covering ears (extremely fast),verbal,8.51E-05,1475,1475
52,迅速,Swiftly,verbal,0.004643684,134930,134930
53,遥遥无期,"Not within foreseeable time (literally, “far away with no deadline”)",verbal,1095639.459,901,901
54,一半天,Half a day or so,verbal,0.930555556,157,80.07
55,一辈子,A lifetime,verbal,29284.88372,54186,54186
56,一刹那,A single kshana / a split second,verbal,0.000282016,7436,7436
57,一晃,In a flash (time passing quickly),verbal,689.3116013,5916,5916
58,一会,A short while,verbal,0.035464015,113306,113306
59,一刻,A quarter (of an hour) / a short while,verbal,0.009077848,41018,41018
60,一溜烟,Like a puff of smoke (very quickly),verbal,93.59134408,1641,1608.18
61,一年半载,"A year or so (literally, “a year and half a year”)",verbal,496.5909091,880,880
62,一日,One day,verbal,0.988888889,37625,36872.5
63,一霎,A flash,verbal,0.000253152,1250,675
64,一生,A whole life,verbal,30302.93478,85210,85210
65,一时半会儿,"A short while (literally, “half a moment”)",verbal,0.454050926,249,249
66,一时半刻,"A short while (literally, “half a moment”)",verbal,0.070478036,395,395
67,一世,A generation / a lifetime,verbal,32020.45455,11080,8974.8
68,一瞬,A fleeting moment,verbal,0.000735597,24190,24190
69,一下子,All at once,verbal,0.006623264,42361,42361
70,一宿,One night,verbal,0.446022727,2762,2734.38
71,一眨眼,A blink (of an eye),verbal,0.000430077,2571,2571
72,一阵,A spell (of time),verbal,4.21665157,114612,111173.64
73,一阵子,A period of time,verbal,12.89300926,11960,11960
74,一整天,A whole day,verbal,1.219202899,10833,10833
75,亿万斯年,Hundreds of millions of years,verbal,8.69E+24,33,21.78
76,永久,Permanent,verbal,8.69E+22,15156,14701.32
77,永生永世,For all eternity,verbal,9.13E+24,278,278
78,永远,Forever,verbal,9.13E+28,185107,185107
79,眨眼间,In the blink of an eye,verbal,0.227578151,1172,1172
80,长年,Year after year,verbal,6722.790698,6015,5593.95
81,长期,Long-term,verbal,1999.756098,151965,151965
82,终身,For life,verbal,29606.47727,24686,24686
83,终生,All one’s life,verbal,31496.82927,9771,9771
84,转眼间,In the blink of an eye,verbal,83.91752701,3126,3126
85,1秒,1 second,numeric,1.16E-05,901,873.97
86,2秒,2 seconds,numeric,2.31E-05,626,626
87,3秒,3 seconds,numeric,3.47E-05,817,817
88,4秒,4 seconds,numeric,4.63E-05,236,233.64
89,5秒,5 seconds,numeric,5.79E-05,1240,1240
90,6秒,6 seconds,numeric,6.94E-05,313,313
91,7秒,7 seconds,numeric,8.10E-05,382,382
92,8秒,8 seconds,numeric,9.26E-05,380,380
93,9秒,9 seconds,numeric,0.000104167,275,275
94,10秒,10 seconds,numeric,0.000115741,2131,2131
95,11秒,11 seconds,numeric,0.000127315,925,601.25
96,12秒,12 seconds,numeric,0.000138889,381,381
97,13秒,13 seconds,numeric,0.000150463,554,526.3
98,14秒,14 seconds,numeric,0.000162037,167,165.33
99,15秒,15 seconds,numeric,0.000173611,595,595
100,16秒,16 seconds,numeric,0.000185185,156,152.88
101,17秒,17 seconds,numeric,0.000196759,145,140.65
102,18秒,18 seconds,numeric,0.000208333,240,237.6
103,19秒,19 seconds,numeric,0.000219907,114,112.86
104,20秒,20 seconds,numeric,0.000231481,841,824.18
105,21秒,21 seconds,numeric,0.000243056,230,227.7
106,22秒,22 seconds,numeric,0.00025463,208,197.6
107,23秒,23 seconds,numeric,0.000266204,208,205.92
108,24秒,24 seconds,numeric,0.000277778,234,231.66
109,25秒,25 seconds,numeric,0.000289352,288,276.48
110,26秒,26 seconds,numeric,0.000300926,160,156.8
111,27秒,27 seconds,numeric,0.0003125,178,178
112,28秒,28 seconds,numeric,0.000324074,189,185.22
113,29秒,29 seconds,numeric,0.000335648,132,130.68
114,30秒,30 seconds,numeric,0.000347222,2048,2027.52
115,31秒,31 seconds,numeric,0.000358796,108,108
116,32秒,32 seconds,numeric,0.00037037,156,145.08
117,33秒,33 seconds,numeric,0.000381944,143,138.71
118,34秒,34 seconds,numeric,0.000393519,135,135
119,35秒,35 seconds,numeric,0.000405093,269,269
120,36秒,36 seconds,numeric,0.000416667,145,140.65
121,37秒,37 seconds,numeric,0.000428241,173,162.62
122,38秒,38 seconds,numeric,0.000439815,172,170.28
123,39秒,39 seconds,numeric,0.000451389,124,124
124,40秒,40 seconds,numeric,0.000462963,462,448.14
125,41秒,41 seconds,numeric,0.000474537,142,140.58
126,42秒,42 seconds,numeric,0.000486111,142,136.32
127,43秒,43 seconds,numeric,0.000497685,151,141.94
128,44秒,44 seconds,numeric,0.000509259,133,129.01
129,45秒,45 seconds,numeric,0.000520833,321,321
130,46秒,46 seconds,numeric,0.000532407,128,126.72
131,47秒,47 seconds,numeric,0.000543981,155,151.9
132,48秒,48 seconds,numeric,0.000555556,137,126.04
133,49秒,49 seconds,numeric,0.00056713,149,147.51
134,50秒,50 seconds,numeric,0.000578704,356,352.44
135,51秒,51 seconds,numeric,0.000590278,101,94.94
136,52秒,52 seconds,numeric,0.000601852,132,125.4
137,53秒,53 seconds,numeric,0.000613426,124,122.76
138,54秒,54 seconds,numeric,0.000625,125,122.5
139,55秒,55 seconds,numeric,0.000636574,176,174.24
140,56秒,56 seconds,numeric,0.000648148,178,172.66
141,57秒,57 seconds,numeric,0.000659722,199,199
142,58秒,58 seconds,numeric,0.000671296,167,165.33
143,59秒,59 seconds,numeric,0.00068287,240,220.8
144,60秒,60 seconds,numeric,0.000694444,389,377.33
145,1分钟,1 minute,numeric,0.000694444,2320,2320
146,2分钟,2 minutes,numeric,0.001388889,1964,1964
147,3分钟,3 minutes,numeric,0.002083333,2820,2820
148,4分钟,4 minutes,numeric,0.002777778,986,986
149,5分钟,5 minutes,numeric,0.003472222,6457,6457
150,6分钟,6 minutes,numeric,0.004166667,786,778.14
151,7分钟,7 minutes,numeric,0.004861111,706,706
152,8分钟,8 minutes,numeric,0.005555556,963,963
153,9分钟,9 minutes,numeric,0.00625,365,365
154,10分钟,10 minutes,numeric,0.006944444,7109,7109
155,11分钟,11 minutes,numeric,0.007638889,271,271
156,12分钟,12 minutes,numeric,0.008333333,565,565
157,13分钟,13 minutes,numeric,0.009027778,249,249
158,14分钟,14 minutes,numeric,0.009722222,182,182
159,15分钟,15 minutes,numeric,0.010416667,4775,4775
160,16分钟,16 minutes,numeric,0.011111111,211,211
161,17分钟,17 minutes,numeric,0.011805556,202,202
162,18分钟,18 minutes,numeric,0.0125,253,253
163,19分钟,19 minutes,numeric,0.013194444,130,130
164,20分钟,20 minutes,numeric,0.013888889,5494,5494
165,21分钟,21 minutes,numeric,0.014583333,147,147
166,22分钟,22 minutes,numeric,0.015277778,156,156
167,23分钟,23 minutes,numeric,0.015972222,157,157
168,24分钟,24 minutes,numeric,0.016666667,151,151
169,25分钟,25 minutes,numeric,0.017361111,668,668
170,26分钟,26 minutes,numeric,0.018055556,129,129
171,27分钟,27 minutes,numeric,0.01875,118,118
172,28分钟,28 minutes,numeric,0.019444444,144,144
173,29分钟,29 minutes,numeric,0.020138889,103,103
174,30分钟,30 minutes,numeric,0.020833333,3953,3953
175,31分钟,31 minutes,numeric,0.021527778,90,90
176,32分钟,32 minutes,numeric,0.022222222,105,105
177,33分钟,33 minutes,numeric,0.022916667,121,121
178,34分钟,34 minutes,numeric,0.023611111,75,75
179,35分钟,35 minutes,numeric,0.024305556,406,406
180,36分钟,36 minutes,numeric,0.025,144,144
181,37分钟,37 minutes,numeric,0.025694444,106,106
182,38分钟,38 minutes,numeric,0.026388889,106,106
183,39分钟,39 minutes,numeric,0.027083333,78,78
184,40分钟,40 minutes,numeric,0.027777778,2157,2157
185,41分钟,41 minutes,numeric,0.028472222,66,66
186,42分钟,42 minutes,numeric,0.029166667,106,106
187,43分钟,43 minutes,numeric,0.029861111,83,81.34
188,44分钟,44 minutes,numeric,0.030555556,96,96
189,45分钟,45 minutes,numeric,0.03125,1329,1329
190,46分钟,46 minutes,numeric,0.031944444,65,65
191,47分钟,47 minutes,numeric,0.032638889,78,77.22
192,48分钟,48 minutes,numeric,0.033333333,96,96
193,49分钟,49 minutes,numeric,0.034027778,63,63
194,50分钟,50 minutes,numeric,0.034722222,804,804
195,51分钟,51 minutes,numeric,0.035416667,110,110
196,52分钟,52 minutes,numeric,0.036111111,56,56
197,53分钟,53 minutes,numeric,0.036805556,64,64
198,54分钟,54 minutes,numeric,0.0375,78,78
199,55分钟,55 minutes,numeric,0.038194444,115,115
200,56分钟,56 minutes,numeric,0.038888889,61,61
201,57分钟,57 minutes,numeric,0.039583333,70,70
202,58分钟,58 minutes,numeric,0.040277778,63,63
203,59分钟,59 minutes,numeric,0.040972222,46,46
204,60分钟,60 minutes,numeric,0.041666667,947,947
205,61分钟,61 minutes,numeric,0.042361111,17,17
206,62分钟,62 minutes,numeric,0.043055556,17,17
207,63分钟,63 minutes,numeric,0.04375,22,22
208,64分钟,64 minutes,numeric,0.044444444,31,31
209,65分钟,65 minutes,numeric,0.045138889,45,45
210,66分钟,66 minutes,numeric,0.045833333,24,24
211,67分钟,67 minutes,numeric,0.046527778,22,22
212,68分钟,68 minutes,numeric,0.047222222,24,24
213,69分钟,69 minutes,numeric,0.047916667,11,11
214,70分钟,70 minutes,numeric,0.048611111,248,248
215,71分钟,71 minutes,numeric,0.049305556,11,11
216,72分钟,72 minutes,numeric,0.05,23,23
217,73分钟,73 minutes,numeric,0.050694444,26,26
218,74分钟,74 minutes,numeric,0.051388889,15,15
219,75分钟,75 minutes,numeric,0.052083333,85,114.75
220,76分钟,76 minutes,numeric,0.052777778,24,24
221,77分钟,77 minutes,numeric,0.053472222,17,17
222,78分钟,78 minutes,numeric,0.054166667,30,30
223,79分钟,79 minutes,numeric,0.054861111,17,17
224,80分钟,80 minutes,numeric,0.055555556,267,846.39
225,81分钟,81 minutes,numeric,0.05625,21,21
226,82分钟,82 minutes,numeric,0.056944444,18,18
227,83分钟,83 minutes,numeric,0.057638889,13,13
228,84分钟,84 minutes,numeric,0.058333333,16,16
229,85分钟,85 minutes,numeric,0.059027778,38,38
230,86分钟,86 minutes,numeric,0.059722222,20,20
231,87分钟,87 minutes,numeric,0.060416667,22,22
232,88分钟,88 minutes,numeric,0.061111111,56,53
233,89分钟,89 minutes,numeric,0.061805556,38,38
234,90分钟,90 minutes,numeric,0.0625,1225,1225
235,91分钟,91 minutes,numeric,0.063194444,8,8
236,92分钟,92 minutes,numeric,0.063888889,10,10
237,93分钟,93 minutes,numeric,0.064583333,25,25
238,94分钟,94 minutes,numeric,0.065277778,8,8
239,95分钟,95 minutes,numeric,0.065972222,25,25
240,96分钟,96 minutes,numeric,0.066666667,11,11
241,97分钟,97 minutes,numeric,0.067361111,1,1
242,98分钟,98 minutes,numeric,0.068055556,6,6
243,99分钟,99 minutes,numeric,0.06875,9,9
244,100分钟,100 minutes,numeric,0.069444444,246,246
245,101分钟,101 minutes,numeric,0.070138889,10,9.5
246,102分钟,102 minutes,numeric,0.070833333,6,6
247,103分钟,103 minutes,numeric,0.071527778,27,27
248,104分钟,104 minutes,numeric,0.072222222,2,2
249,105分钟,105 minutes,numeric,0.072916667,29,29
250,106分钟,106 minutes,numeric,0.073611111,38,38
251,107分钟,107 minutes,numeric,0.074305556,30,30
252,108分钟,108 minutes,numeric,0.075,19,19
253,109分钟,109 minutes,numeric,0.075694444,10,10
254,110分钟,110 minutes,numeric,0.076388889,82,82
255,111分钟,111 minutes,numeric,0.077083333,4,3.5
256,112分钟,112 minutes,numeric,0.077777778,1,1
257,113分钟,113 minutes,numeric,0.078472222,2,2
258,114分钟,114 minutes,numeric,0.079166667,4,4
259,115分钟,115 minutes,numeric,0.079861111,23,23
260,116分钟,116 minutes,numeric,0.080555556,4,4
261,117分钟,117 minutes,numeric,0.08125,7,7
262,118分钟,118 minutes,numeric,0.081944444,31,31
263,119分钟,119 minutes,numeric,0.082638889,0,0
264,120分钟,120 minutes,numeric,0.083333333,260,260
265,121分钟,121 minutes,numeric,0.084027778,1,1
266,122分钟,122 minutes,numeric,0.084722222,1,1
267,123分钟,123 minutes,numeric,0.085416667,6,6
268,124分钟,124 minutes,numeric,0.086111111,1,1
269,125分钟,125 minutes,numeric,0.086805556,9,9
270,126分钟,126 minutes,numeric,0.0875,1,1
271,127分钟,127 minutes,numeric,0.088194444,1,1
272,128分钟,128 minutes,numeric,0.088888889,10,10
273,129分钟,129 minutes,numeric,0.089583333,0,0
274,130分钟,130 minutes,numeric,0.090277778,42,42
275,131分钟,131 minutes,numeric,0.090972222,0,0
276,132分钟,132 minutes,numeric,0.091666667,0,0
277,133分钟,133 minutes,numeric,0.092361111,2,2
278,134分钟,134 minutes,numeric,0.093055556,0,0
279,135分钟,135 minutes,numeric,0.09375,14,13.5
280,136分钟,136 minutes,numeric,0.094444444,2,2
281,137分钟,137 minutes,numeric,0.095138889,10,10
282,138分钟,138 minutes,numeric,0.095833333,9,9
283,139分钟,139 minutes,numeric,0.096527778,0,0
284,140分钟,140 minutes,numeric,0.097222222,26,26
285,141分钟,141 minutes,numeric,0.097916667,0,0
286,142分钟,142 minutes,numeric,0.098611111,0,0
287,143分钟,143 minutes,numeric,0.099305556,0,0
288,144分钟,144 minutes,numeric,0.1,0,0
289,145分钟,145 minutes,numeric,0.100694444,29,29
290,146分钟,146 minutes,numeric,0.101388889,2,2
291,147分钟,147 minutes,numeric,0.102083333,2,2
292,148分钟,148 minutes,numeric,0.102777778,0,0
293,149分钟,149 minutes,numeric,0.103472222,1,1
294,150分钟,150 minutes,numeric,0.104166667,82,82
295,1小时,1 hour,numeric,0.041666667,3537,3537
296,2小时,2 hours,numeric,0.083333333,3192,3192
297,3小时,3 hours,numeric,0.125,2272,2272
298,4小时,4 hours,numeric,0.166666667,1602,1602
299,5小时,5 hours,numeric,0.208333333,1044,1044
300,6小时,6 hours,numeric,0.25,1268,1268
301,7小时,7 hours,numeric,0.291666667,526,526
302,8小时,8 hours,numeric,0.333333333,1628,1628
303,9小时,9 hours,numeric,0.375,306,306
304,10小时,10 hours,numeric,0.416666667,673,673
305,11小时,11 hours,numeric,0.458333333,132,132
306,12小时,12 hours,numeric,0.5,1350,1350
307,13小时,13 hours,numeric,0.541666667,158,158
308,14小时,14 hours,numeric,0.583333333,191,191
309,15小时,15 hours,numeric,0.625,178,178
310,16小时,16 hours,numeric,0.666666667,199,199
311,17小时,17 hours,numeric,0.708333333,53,53
312,18小时,18 hours,numeric,0.75,148,148
313,19小时,19 hours,numeric,0.791666667,42,41.5
314,20小时,20 hours,numeric,0.833333333,372,372
315,21小时,21 hours,numeric,0.875,71,71
316,22小时,22 hours,numeric,0.916666667,80,80
317,23小时,23 hours,numeric,0.958333333,76,76
318,24小时,24 hours,numeric,1,9911,9911
319,25小时,25 hours,numeric,1.041666667,95,95
320,26小时,26 hours,numeric,1.083333333,57,57
321,27小时,27 hours,numeric,1.125,15,15
322,28小时,28 hours,numeric,1.166666667,36,36
323,29小时,29 hours,numeric,1.208333333,18,18
324,30小时,30 hours,numeric,1.25,206,203.94
325,31小时,31 hours,numeric,1.291666667,8,8
326,32小时,32 hours,numeric,1.333333333,25,25
327,33小时,33 hours,numeric,1.375,16,16
328,34小时,34 hours,numeric,1.416666667,24,24
329,35小时,35 hours,numeric,1.458333333,57,57
330,36小时,36 hours,numeric,1.5,224,224
331,37小时,37 hours,numeric,1.541666667,17,17
332,38小时,38 hours,numeric,1.583333333,28,28
333,39小时,39 hours,numeric,1.625,4,4
334,40小时,40 hours,numeric,1.666666667,151,149.49
335,41小时,41 hours,numeric,1.708333333,17,17
336,42小时,42 hours,numeric,1.75,19,19
337,43小时,43 hours,numeric,1.791666667,11,11
338,44小时,44 hours,numeric,1.833333333,25,25
339,45小时,45 hours,numeric,1.875,16,16
340,46小时,46 hours,numeric,1.916666667,9,9
341,47小时,47 hours,numeric,1.958333333,10,10
342,48小时,48 hours,numeric,2,1329,1329
343,49小时,49 hours,numeric,2.041666667,9,9
344,50小时,50 hours,numeric,2.083333333,74,74
345,51小时,51 hours,numeric,2.125,5,4.5
346,52小时,52 hours,numeric,2.166666667,6,6
347,53小时,53 hours,numeric,2.208333333,3,3
348,54小时,54 hours,numeric,2.25,13,13
349,55小时,55 hours,numeric,2.291666667,10,9.5
350,56小时,56 hours,numeric,2.333333333,11,11
351,57小时,57 hours,numeric,2.375,2,2
352,58小时,58 hours,numeric,2.416666667,6,6
353,59小时,59 hours,numeric,2.458333333,0,0
354,60小时,60 hours,numeric,2.5,83,83
355,61小时,61 hours,numeric,2.541666667,1,1
356,62小时,62 hours,numeric,2.583333333,2,2
357,63小时,63 hours,numeric,2.625,5,5
358,64小时,64 hours,numeric,2.666666667,4,4
359,65小时,65 hours,numeric,2.708333333,6,6
360,66小时,66 hours,numeric,2.75,4,4
361,67小时,67 hours,numeric,2.791666667,3,3
362,68小时,68 hours,numeric,2.833333333,9,9
363,69小时,69 hours,numeric,2.875,2,2
364,70小时,70 hours,numeric,2.916666667,13,13
365,71小时,71 hours,numeric,2.958333333,1,1
366,72小时,72 hours,numeric,3,482,482
367,1个小时,1 hour,numeric,0.041666667,1260,1260
368,2个小时,2 hours,numeric,0.083333333,1713,1713
369,3个小时,3 hours,numeric,0.125,1690,1690
370,4个小时,4 hours,numeric,0.166666667,1354,1354
371,5个小时,5 hours,numeric,0.208333333,1124,1124
372,6个小时,6 hours,numeric,0.25,816,816
373,7个小时,7 hours,numeric,0.291666667,440,440
374,8个小时,8 hours,numeric,0.333333333,549,549
375,9个小时,9 hours,numeric,0.375,228,228
376,10个小时,10 hours,numeric,0.416666667,553,553
377,11个小时,11 hours,numeric,0.458333333,209,209
378,12个小时,12 hours,numeric,0.5,777,777
379,13个小时,13 hours,numeric,0.541666667,256,256
380,14个小时,14 hours,numeric,0.583333333,229,229
381,15个小时,15 hours,numeric,0.625,250,250
382,16个小时,16 hours,numeric,0.666666667,215,215
383,17个小时,17 hours,numeric,0.708333333,106,106
384,18个小时,18 hours,numeric,0.75,141,141
385,19个小时,19 hours,numeric,0.791666667,48,48
386,20个小时,20 hours,numeric,0.833333333,250,250
387,21个小时,21 hours,numeric,0.875,40,40
388,22个小时,22 hours,numeric,0.916666667,47,47
389,23个小时,23 hours,numeric,0.958333333,42,42
390,24个小时,24 hours,numeric,1,278,278
391,25个小时,25 hours,numeric,1.041666667,61,61
392,26个小时,26 hours,numeric,1.083333333,27,27
393,27个小时,27 hours,numeric,1.125,29,29
394,28个小时,28 hours,numeric,1.166666667,21,21
395,29个小时,29 hours,numeric,1.208333333,12,12
396,30个小时,30 hours,numeric,1.25,132,132
397,31个小时,31 hours,numeric,1.291666667,11,11
398,32个小时,32 hours,numeric,1.333333333,15,15
399,33个小时,33 hours,numeric,1.375,23,23
400,34个小时,34 hours,numeric,1.416666667,20,20
401,35个小时,35 hours,numeric,1.458333333,24,24
402,36个小时,36 hours,numeric,1.5,84,84
403,37个小时,37 hours,numeric,1.541666667,9,9
404,38个小时,38 hours,numeric,1.583333333,21,21
405,39个小时,39 hours,numeric,1.625,9,9
406,40个小时,40 hours,numeric,1.666666667,84,84
407,41个小时,41 hours,numeric,1.708333333,12,12
408,42个小时,42 hours,numeric,1.75,3,3
409,43个小时,43 hours,numeric,1.791666667,4,4
410,44个小时,44 hours,numeric,1.833333333,14,14
411,45个小时,45 hours,numeric,1.875,10,9
412,46个小时,46 hours,numeric,1.916666667,7,7
413,47个小时,47 hours,numeric,1.958333333,8,8
414,48个小时,48 hours,numeric,2,91,91
415,49个小时,49 hours,numeric,2.041666667,4,4
416,50个小时,50 hours,numeric,2.083333333,44,44
417,51个小时,51 hours,numeric,2.125,4,4
418,52个小时,52 hours,numeric,2.166666667,1,1
419,53个小时,53 hours,numeric,2.208333333,3,3
420,54个小时,54 hours,numeric,2.25,3,3
421,55个小时,55 hours,numeric,2.291666667,9,9
422,56个小时,56 hours,numeric,2.333333333,24,24
423,57个小时,57 hours,numeric,2.375,5,5
424,58个小时,58 hours,numeric,2.416666667,7,7
425,59个小时,59 hours,numeric,2.458333333,1,1
426,60个小时,60 hours,numeric,2.5,33,33
427,61个小时,61 hours,numeric,2.541666667,2,2
428,62个小时,62 hours,numeric,2.583333333,0,0
429,63个小时,63 hours,numeric,2.625,0,0
430,64个小时,64 hours,numeric,2.666666667,0,0
431,65个小时,65 hours,numeric,2.708333333,0,0
432,66个小时,66 hours,numeric,2.75,1,1
433,67个小时,67 hours,numeric,2.791666667,4,4
434,68个小时,68 hours,numeric,2.833333333,0,0
435,69个小时,69 hours,numeric,2.875,0,0
436,70个小时,70 hours,numeric,2.916666667,10,10
437,71个小时,71 hours,numeric,2.958333333,0,0
438,72个小时,72 hours,numeric,3,21,21
439,1天,1 day,numeric,1,1753,1753
440,2天,2 days,numeric,2,4748,4748
441,3天,3 days,numeric,3,9193,9193
442,4天,4 days,numeric,4,4459,4459
443,5天,5 days,numeric,5,5051,5051
444,6天,6 days,numeric,6,2216,2216
445,7天,7 days,numeric,7,4380,4380
446,8天,8 days,numeric,8,1617,1617
447,9天,9 days,numeric,9,1125,1125
448,10天,10 days,numeric,10,4939,4939
449,11天,11 days,numeric,11,836,836
450,12天,12 days,numeric,12,1178,1178
451,13天,13 days,numeric,13,555,555
452,14天,14 days,numeric,14,934,934
453,15天,15 days,numeric,15,1995,1995
454,16天,16 days,numeric,16,480,480
455,17天,17 days,numeric,17,580,580
456,18天,18 days,numeric,18,542,542
457,19天,19 days,numeric,19,307,307
458,20天,20 days,numeric,20,2139,2139
459,21天,21 days,numeric,21,565,565
460,22天,22 days,numeric,22,333,333
461,23天,23 days,numeric,23,315,315
462,24天,24 days,numeric,24,227,224.73
463,25天,25 days,numeric,25,385,385
464,26天,26 days,numeric,26,188,186.12
465,27天,27 days,numeric,27,188,188
466,28天,28 days,numeric,28,1084,1084
467,29天,29 days,numeric,29,186,186
468,30天,30 days,numeric,30,3992,3992
469,31天,31 days,numeric,31,206,206
470,32天,32 days,numeric,32,177,177
471,33天,33 days,numeric,33,17182,17182
472,34天,34 days,numeric,34,155,155
473,35天,35 days,numeric,35,185,185
474,36天,36 days,numeric,36,127,127
475,37天,37 days,numeric,37,87,86.13
476,38天,38 days,numeric,38,141,141
477,39天,39 days,numeric,39,66,64.68
478,40天,40 days,numeric,40,875,875
479,41天,41 days,numeric,41,58,58
480,42天,42 days,numeric,42,147,147
481,43天,43 days,numeric,43,113,113
482,44天,44 days,numeric,44,119,119
483,45天,45 days,numeric,45,403,403
484,46天,46 days,numeric,46,72,72
485,47天,47 days,numeric,47,59,58.41
486,48天,48 days,numeric,48,96,96
487,49天,49 days,numeric,49,201,201
488,50天,50 days,numeric,50,572,572
489,51天,51 days,numeric,51,81,81
490,52天,52 days,numeric,52,92,92
491,53天,53 days,numeric,53,60,59.4
492,54天,54 days,numeric,54,56,56
493,55天,55 days,numeric,55,94,94
494,56天,56 days,numeric,56,82,82
495,57天,57 days,numeric,57,34,33.5
496,58天,58 days,numeric,58,49,49
497,59天,59 days,numeric,59,43,43
498,60天,60 days,numeric,60,715,715
499,61天,61 days,numeric,61,27,27
500,62天,62 days,numeric,62,27,27
501,63天,63 days,numeric,63,40,40
502,64天,64 days,numeric,64,33,32.5
503,65天,65 days,numeric,65,51,51
504,66天,66 days,numeric,66,50,50
505,67天,67 days,numeric,67,30,30
506,68天,68 days,numeric,68,19,19
507,69天,69 days,numeric,69,18,18
508,70天,70 days,numeric,70,151,151
509,71天,71 days,numeric,71,26,26
510,72天,72 days,numeric,72,48,48
511,73天,73 days,numeric,73,20,20
512,74天,74 days,numeric,74,60,60
513,75天,75 days,numeric,75,46,46
514,76天,76 days,numeric,76,26,26
515,77天,77 days,numeric,77,35,35
516,78天,78 days,numeric,78,79,79
517,79天,79 days,numeric,79,24,24
518,80天,80 days,numeric,80,165,165
519,81天,81 days,numeric,81,35,35
520,82天,82 days,numeric,82,19,18.5
521,83天,83 days,numeric,83,26,26
522,84天,84 days,numeric,84,23,22.5
523,85天,85 days,numeric,85,21,21
524,86天,86 days,numeric,86,15,14.5
525,87天,87 days,numeric,87,18,18
526,88天,88 days,numeric,88,25,25
527,89天,89 days,numeric,89,16,16
528,90天,90 days,numeric,90,726,726
529,91天,91 days,numeric,91,26,26
530,92天,92 days,numeric,92,22,22
531,93天,93 days,numeric,93,16,15.5
532,94天,94 days,numeric,94,18,15.5
533,95天,95 days,numeric,95,19,19
534,96天,96 days,numeric,96,15,14
535,97天,97 days,numeric,97,22,19
536,98天,98 days,numeric,98,47,46.5
537,99天,99 days,numeric,99,154,154
538,100天,100 days,numeric,100,1031,1031
539,101天,101 days,numeric,101,19,19
540,102天,102 days,numeric,102,7,7
541,103天,103 days,numeric,103,14,14
